Volcano Number,Volcano Name,Region,Estimate method,Recorded small eruptions,Recorded large eruptions,Recorded unknown eruptions,Jenkins classification,Whelley classification,Probability of eruption 5th percentile,Probability of eruption 50th percentile,Probability of eruption 95th percentile,<= VEI 3 5th percentile,<= VEI 3 50th percentile,<= VEI 3 95th percentile,VEI 4 5th percentile,VEI 4 50th percentile,VEI 4 95th percentile,VEI 5 5th percentile,VEI 5 50th percentile,VEI 5 95th percentile,VEI 6 5th percentile,VEI 6 50th percentile,VEI 6 95th percentile,VEI 7 5th percentile,VEI 7 50th percentile,VEI 7 95th percentile
273044,Malindig,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.120391137858868e-05,0.002022586914727143,0.011716774845033235,5.4982941491554555e-05,0.0018224621565862188,0.010574574549652344,4.278355756426747e-06,0.0001389640978999222,0.0007914594768702511,1.6036943332005548e-06,5.030408328586082e-05,0.0002866321699221267,3.13171515788087e-07,9.80646811438586e-06,5.697206387575486e-05,2.5748281618728657e-08,1.0501088407549577e-06,7.13658471275823e-06
261121,Malintang,Indonesia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.725937705250848e-05,0.0020851893017585104,0.01192703274111774,6.0888935506294376e-05,0.0018871370290631465,0.010792723807149112,4.590097934163529e-06,0.000138289905292544,0.0007915076927679112,1.4573110899256125e-06,4.9003636634395224e-05,0.0002756964532803087,2.963014904776961e-07,9.708355257281945e-06,6.000863834821677e-05,2.673103164725912e-08,1.0503755111427908e-06,7.096149572193576e-06
272030,Mandalagan,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.535432818614795e-05,0.002068889816827126,0.011753232069163738,5.89325863469681e-05,0.0018740173672282781,0.010628752230268384,4.610297640275654e-06,0.00013358046905402327,0.0007784472220239081,1.4337823452477999e-06,5.028187134547127e-05,0.0002812596966000016,3.4899422946674066e-07,9.966225082908464e-06,5.7746758517745466e-05,2.866762418964682e-08,1.04388411644469e-06,7.026161753698019e-06
265080,Manuk,Indonesia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.870270812889051e-05,0.002056982087539347,0.011620911787079411,6.256046027907984e-05,0.001858057234936674,0.010509656485378051,4.197081429542772e-06,0.00013768099848039767,0.0007606553186041299,1.5990156260327692e-06,5.0626751123709996e-05,0.00028676127415273807,3.1900850805612005e-07,9.611922979944516e-06,5.6897749227149344e-05,2.7142286179006293e-08,1.0051800186206008e-06,6.9409597173421196e-06
261140,Marapi,Indonesia,Bayesian update,64,0,1,Large cone,Open-vent stratocone,0.21660362113179016,0.2543324725534908,0.2972200628610791,0.21380125233808628,0.2344381377008512,0.25234171513811066,0.0019512493931794078,0.01250864144747112,0.02657300521194308,0.0006216920181437815,0.005069478473545643,0.012124248767664205,0.00016536344574892187,0.0016651231837114318,0.004402390923452603,6.406393663178102e-05,0.0006510917479114152,0.0017787028199085582
268062,Mare,Indonesia,Analogue,0,0,0,Large cone,Distributed cones and fields,6.198055642613385e-05,0.002075632210727635,0.011587971071496887,5.547287677038796e-05,0.001877337468154131,0.010469841058596961,4.40854828839505e-06,0.00013569098796805865,0.0007634581802681822,1.7328857455820696e-06,5.1863018154280706e-05,0.0002908795417000603,3.3627480457075525e-07,9.686798076515052e-06,5.661414601487829e-05,2.9970817198005124e-08,1.0539383746498634e-06,7.178144916803565e-06
273081,Mariveles,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.186611928246172e-05,0.002080991786274934,0.011928918923130338,5.561474846303492e-05,0.0018849705171254051,0.010791031917594451,4.363620604549806e-06,0.0001365786746090398,0.0007888968355513613,1.5529381538903134e-06,4.839890220838116e-05,0.0002844928269597826,3.070552745065982e-07,9.988781849266786e-06,5.720208987763106e-05,2.7756786480098307e-08,1.0549104828413303e-06,7.295253147112112e-06
273031,Masaraga,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.68750657656764e-05,0.0020225301269251586,0.011547891761200158,6.030250553116485e-05,0.0018207329694762847,0.01041172570689207,4.640531830254839e-06,0.0001403210004537062,0.0007929687662518906,1.59104641981199e-06,5.062221726400368e-05,0.0002786456823828804,3.143311321253552e-07,9.841158527839432e-06,5.7572471007486015e-05,2.665085231938312e-08,1.0127812033246357e-06,6.979134665832927e-06
271020,Matutum,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.360882942922732e-05,0.002005385710938284,0.011737243358680455,5.740536468262298e-05,0.0018079972799570623,0.01061724325820727,4.187805932731843e-06,0.00013599593252589765,0.0007644838005017005,1.648933128188434e-06,5.046030802320025e-05,0.00028876462407691753,3.3828402748117054e-07,9.94411106943875e-06,5.967444857430152e-05,2.8441658202899484e-08,9.880793626850913e-07,7.07722732026457e-06
273030,Mayon,Philippines and SE Asia,Bayesian update,53,2,2,Large cone,Open-vent stratocone,0.2149930305261499,0.2522553151054076,0.29501871070947755,0.2122110020253913,0.2325100437086707,0.25002282874467213,0.0019383321713052095,0.01240791482759457,0.02678550284022734,0.0006032929812401934,0.004963832776697558,0.011940850806359366,0.0001727536582509789,0.0016862145362895676,0.004386871750653584,6.764968996221088e-05,0.0006873092561551939,0.0018826565675650663
263250,Merapi,Indonesia,Bayesian update,56,2,0,Large cone,Open-vent stratocone,0.19246490615570183,0.22496490007620207,0.26279543951966067,0.19010724892324726,0.20761148823548659,0.2235715204716595,0.00155717511148561,0.010562084743403376,0.022669187236563457,0.0005951242505230276,0.004772161500028375,0.011164310648433439,0.0001491274460232983,0.001437818931910491,0.003775625651952134,5.6230424422612596e-05,0.0005813466653732285,0.0016147955110521527
263240,Merbabu,Indonesia,Bayesian update,1,0,0,Large cone,Open-vent stratocone,0.001814651876223482,0.004196436095829184,0.00815957430717381,0.0017116149115125943,0.0031178768796197975,0.004811817565552631,5.247296876833005e-05,0.000546860612551591,0.0016918987984366177,3.959284651895005e-05,0.0004130550854864702,0.0012857071217046816,1.097114942360757e-05,0.00011864351817132536,0.00037015082147987915,0.0,0.0,0.0
268063,Moti,Indonesia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.920363321094507e-05,0.002019609088461981,0.011366347945927118,6.324057074783099e-05,0.0018241102668322463,0.010219142813330518,4.102123120945296e-06,0.00013470841326841806,0.000796186013698658,1.5099112868697978e-06,4.971366959199974e-05,0.00028650468873645766,3.2367416221752473e-07,1.0027826912878853e-05,5.741296008072086e-05,2.7353893081473836e-08,1.0489118564381765e-06,7.1014700807634405e-06
